market,family,side,lookback,aux,tp,sl,max_hold,name,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct
stock,pullback,1,0,10.0,0.022,0.018,10,stock_pullback_L_lb0_a10_tp0.022_sl0.018_h10,test,99,-0.01973225637483056,-2.362430030470199e-06,0.48484848484848486,0.02056000000000002,0.02056000000000002,-0.019355174128882695,0.9997630662706508,-0.2196464574836352,0.48484848484848486,1.0,-0.0036387260663941095,0.5,99,-0.08722307984151967,-0.0007223624300304685,0.48484848484848486,0.01984000000000002,0.01984000000000002,-0.020075174128882694,0.9301508946617477,-0.24412761897035518,0.48484848484848486,0.0,-0.004358726066394108,0.5
stock,pullback,1,0,20.0,0.022,0.018,10,stock_pullback_L_lb0_a20_tp0.022_sl0.018_h10,train,297,0.08244918320645733,0.0004608780360491394,0.5016835016835017,0.019930199699534704,0.02056000000000002,-0.01913999309813566,1.048321339936767,-0.20802493916448805,0.4781144781144781,0.9530201342281879,-0.0015364955362450938,0.5555555555555556,297,-0.12600029907007315,-0.0002591219639508591,0.4983164983164983,0.019344557868869405,0.01984000000000002,-0.019731233475745482,0.9738229819766177,-0.264786242633533,0.4781144781144781,0.0,-0.0022564955362450925,0.3333333333333333
stock,pullback,1,0,20.0,0.022,0.018,10,stock_pullback_L_lb0_a20_tp0.022_sl0.018_h10,test,190,-0.15119896038513303,-0.000665538761582971,0.47368421052631576,0.020162398668899628,0.02056000000000002,-0.01941068244901732,0.9348542406827294,-0.2586309113456724,0.45789473684210524,0.9777777777777777,-0.0030059190187682722,0.0,190,-0.25986662974597063,-0.0013855387615829694,0.47368421052631576,0.019442398668899633,0.01984000000000002,-0.02013068244901731,0.869228295976814,-0.33996140341542436,0.45789473684210524,0.011111111111111112,-0.0037259190187682706,0.0
stock,trend_pullback,1,0,0.01,0.022,0.018,10,stock_trend_pullback_L_lb0_a0.01_tp0.022_sl0.018_h10,train,442,0.2350519031759326,0.0006732759021843142,0.504524886877828,0.02014705877178549,0.02056000000000002,-0.019156192499281726,1.0709352383659645,-0.2364131480106546,0.49095022624434387,0.9730941704035875,-0.0008923421975591427,0.4444444444444444,442,-0.10161072658132753,-4.672409781568406e-05,0.504524886877828,0.01942705877178548,0.01984000000000002,-0.01987619249928172,0.9952555498839091,-0.28132410555622034,0.49095022624434387,0.0,-0.001612342197559141,0.4444444444444444
stock,trend_pullback,1,0,0.01,0.022,0.018,10,stock_trend_pullback_L_lb0_a0.01_tp0.022_sl0.018_h10,test,266,0.22560178725643487,0.0009639899600475142,0.5112781954887218,0.020432554745529623,0.02056000000000002,-0.01940312396937992,1.1016574324586945,-0.31604136442488584,0.5037593984962406,0.9926470588235294,-0.0010522006477517029,0.5,266,0.0120231093288512,0.0002439899600475158,0.5112781954887218,0.01971255474552962,0.01984000000000002,-0.020123123969379916,1.0248093186690999,-0.3696856962702859,0.5037593984962406,0.007352941176470588,-0.0017722006477517013,0.5
stock,trend_pullback,1,0,0.02,0.022,0.018,10,stock_trend_pullback_L_lb0_a0.02_tp0.022_sl0.018_h10,train,397,0.4048077363373004,0.0010524863348093901,0.5113350125944585,0.020299921877140283,0.02056000000000002,-0.019087871474949225,1.11283601516706,-0.30135760692192726,0.5012594458438288,0.9802955665024631,-0.000597713122563039,0.5555555555555556,397,0.05563899702771624,0.0003324863348093913,0.5113350125944585,0.01957992187714028,0.01984000000000002,-0.019807871474949224,1.0343498439122591,-0.3528885133638763,0.5012594458438288,0.0,-0.0013177131225630373,0.4444444444444444
stock,trend_pullback,1,0,0.02,0.022,0.018,10,stock_trend_pullback_L_lb0_a0.02_tp0.022_sl0.018_h10,test,254,-0.04463612429764752,1.9320651149708356e-05,0.4881889763779528,0.020420221333806686,0.02056000000000002,-0.01944000000000002,1.00194185081989,-0.31960937245158083,0.48031496062992124,0.9919354838709677,-0.0019529492152377508,0.5,254,-0.20441549551811977,-0.0007006793488502903,0.4881889763779528,0.019700221333806674,0.01984000000000002,-0.020160000000000018,0.932092279224674,-0.39416617278123356,0.48031496062992124,0.008064516129032258,-0.0026729492152377486,0.25
stock,breakout,1,20,0.0,0.022,0.018,20,stock_breakout_L_lb20_a0_tp0.022_sl0.018_h20,train,319,-0.11174296596536437,-0.0001734442667408796,0.4827586206896552,0.020383328720713505,0.02056000000000002,-0.01935976572169831,0.9826792541198021,-0.28010317752396385,0.47648902821316613,0.987012987012987,-0.001944298067709756,0.4444444444444444,319,-0.29417486875321996,-0.0008934442667408778,0.4827586206896552,0.01966332872071351,0.01984000000000002,-0.020079765721698305,0.9139768059893678,-0.3967253319501971,0.47648902821316613,0.0,-0.0026642980677097547,0.4444444444444444
stock,breakout,1,20,0.0,0.022,0.018,20,stock_breakout_L_lb20_a0_tp0.022_sl0.018_h20,test,225,-0.6088087919666076,-0.003973333333333332,0.38666666666666666,0.020560000000000012,0.02056000000000002,-0.019440000000000013,0.666756128108785,-0.6872137716417952,0.38666666666666666,1.0,-0.006106666666666664,0.25,225,-0.6675698832027104,-0.004693333333333331,0.38666666666666666,0.019840000000000028,0.01984000000000002,-0.02016000000000001,0.6204278812974471,-0.7214998910542207,0.38666666666666666,0.0,-0.006826666666666663,0.25
stock,breakout,1,55,0.0,0.022,0.018,20,stock_breakout_L_lb55_a0_tp0.022_sl0.018_h20,train,303,-0.15145952847843136,-0.00034418719831795833,0.47854785478547857,0.020372362917171583,0.02056000000000002,-0.019356211038482417,0.9658995660120644,-0.2598521861149242,0.47194719471947194,0.9862068965517241,-0.0021923720167998087,0.4444444444444444,303,-0.31793998752086183,-0.0010641871983179565,0.47854785478547857,0.01965236291717159,0.01984000000000002,-0.020076211038482412,0.8983466209568466,-0.3817524846342495,0.47194719471947194,0.0,-0.0029123720167998066,0.4444444444444444
