name,family,lookback,side_n,rebalance,split,cagr,total_return,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,annual_turnover,stress_cagr,stress_total_return,stress_sharpe,stress_max_drawdown,stress_avg_month,stress_worst_month,stress_positive_month_pct,stress_month_ge_10_pct,stress_annual_turnover
past_trough_reversal_lb30_n1_r7,past_trough_reversal,30,1,7,test,0.04472086732388303,0.07142916478342598,0.2956721085415692,-0.34259117012142326,0.007580513193535506,-0.15095101218429352,0.47368421052631576,0.10526315789473684,55.16796875,0.021879975188333844,0.03472190674707276,0.2233540976132698,-0.3484173241965556,0.005696162184039724,-0.15128422519534457,0.47368421052631576,0.10526315789473684,55.16796875
past_trough_reversal_lb30_n2_r1,past_trough_reversal,30,2,1,train,-0.44174266335769585,-0.5776134758416896,-1.4772894870553108,-0.7063302279853408,-0.03726749566583645,-0.35124129628319023,0.4444444444444444,0.1111111111111111,120.05902777777779,-0.46795576369754854,-0.6066036388813418,-1.6138192009710377,-0.723803125205226,-0.04114228669773078,-0.3530876831521159,0.4444444444444444,0.1111111111111111,120.05902777777779
past_trough_reversal_lb30_n2_r1,past_trough_reversal,30,2,1,test,-0.09691166210984004,-0.1484964005526217,-0.3369454201972675,-0.22281900869627347,-0.007499532981487732,-0.1140402234580209,0.47368421052631576,0.0,155.041015625,-0.15128557078833627,-0.2279296499082517,-0.6109179962315492,-0.28303360511117637,-0.012612193948477854,-0.11617384165767108,0.47368421052631576,0.0,155.041015625
past_trough_reversal_lb30_n2_r3,past_trough_reversal,30,2,3,train,-0.43975124792963227,-0.5753839565593697,-1.5003409104214154,-0.6811039819121918,-0.0381489356039534,-0.3281717811901862,0.4444444444444444,0.05555555555555555,74.06458333333333,-0.45614574586729517,-0.5936250362511388,-1.5857008769738683,-0.6930316818672068,-0.04053645750656873,-0.3294102438498887,0.4444444444444444,0.05555555555555555,74.06458333333333
past_trough_reversal_lb30_n2_r3,past_trough_reversal,30,2,3,test,-0.0762625300084433,-0.11759083716982621,-0.22865835964766262,-0.31512046036316277,-0.005392180060948396,-0.08150371113982402,0.3157894736842105,0.05263157894736842,82.751953125,-0.10637991734306895,-0.1625323210218904,-0.3725654841143046,-0.330594290590547,-0.008139685133685797,-0.08298090028024496,0.3157894736842105,0.05263157894736842,82.751953125
past_trough_reversal_lb30_n2_r7,past_trough_reversal,30,2,7,train,-0.2945266922621843,-0.40298158744219337,-0.8535102103338844,-0.5577745260739043,-0.021659254499829597,-0.2997015751787383,0.5555555555555556,0.05555555555555555,42.612500000000004,-0.3064791482590409,-0.4178751580368575,-0.9033688371362706,-0.5672553890869737,-0.023052940096424595,-0.30027866496627575,0.5555555555555556,0.05555555555555555,42.612500000000004
past_trough_reversal_lb30_n2_r7,past_trough_reversal,30,2,7,test,-0.08277434495472746,-0.12738056737541603,-0.2863821096444559,-0.27005880455288633,-0.006303702293717543,-0.12406192860937792,0.42105263157894735,0.0,48.826822916666664,-0.10055045651970174,-0.15390071492817936,-0.37571173870881414,-0.27749022569150117,-0.00791911317510147,-0.1253039581085874,0.42105263157894735,0.0,48.826822916666664
past_trough_reversal_lb30_n3_r1,past_trough_reversal,30,3,1,train,-0.43388982610245286,-0.5687997169634034,-1.8687380932467372,-0.6547827158337418,-0.04023442961009415,-0.29228888288808874,0.4444444444444444,0.05555555555555555,97.17453703703704,-0.45551586979272796,-0.5929290136458081,-2.005808352071866,-0.6717463709670577,-0.04334150971096076,-0.29390239914295213,0.4444444444444444,0.05555555555555555,97.17453703703704
past_trough_reversal_lb30_n3_r1,past_trough_reversal,30,3,1,test,-0.1532934275183746,-0.23080813279058365,-0.7793056748820684,-0.29571804239547594,-0.012820853048531568,-0.09186934926016077,0.3684210526315789,0.0,120.05902777777776,-0.19305217720160517,-0.28699087169180615,-1.0307886160008823,-0.33158140441676165,-0.016784672366692833,-0.09345476197573144,0.3684210526315789,0.0,120.05902777777776
past_trough_reversal_lb30_n3_r3,past_trough_reversal,30,3,3,train,-0.39328738204970526,-0.5223018587119641,-1.680146018132076,-0.6148849223295808,-0.03549844572204884,-0.2929864807028363,0.4444444444444444,0.0,57.94398148148148,-0.4072156811936861,-0.5384257875271006,-1.7642382178837517,-0.6261990154535668,-0.03735982387015648,-0.29375070338124054,0.4444444444444444,0.0,57.94398148148148
