symbol,entry_time,exit_time,entry_price,exit_price,gross_return,funding_cost,net_return,reason
UNIUSDT,2024-06-11 08:00:00+00:00,2024-06-11 12:00:00+00:00,9.428,9.14516,0.030000000000000027,0.0,0.028400000000000026,target
ETCUSDT,2024-06-11 16:00:00+00:00,2024-06-11 20:00:00+00:00,25.261,25.715698,-0.018000000000000016,0.0,-0.019600000000000017,stop
ETCUSDT,2024-06-23 16:00:00+00:00,2024-06-24 08:00:00+00:00,22.93,22.2421,0.029999999999999916,-0.00018296000000000002,0.028582959999999914,target
UNIUSDT,2024-06-24 12:00:00+00:00,2024-06-24 16:00:00+00:00,9.016,8.745519999999999,0.030000000000000138,-6.262e-05,0.028462620000000136,target
NEARUSDT,2024-06-28 20:00:00+00:00,2024-06-29 00:00:00+00:00,4.901,4.989218,-0.018000000000000016,-0.0001,-0.019500000000000017,stop
ETCUSDT,2024-06-30 04:00:00+00:00,2024-06-30 08:00:00+00:00,22.913,23.325434,-0.018000000000000016,-7.306e-05,-0.019526940000000017,stop
BCHUSDT,2024-07-03 04:00:00+00:00,2024-07-04 00:00:00+00:00,374.06,362.8382,0.030000000000000027,-0.00019879,0.028598790000000027,target
UNIUSDT,2024-08-01 08:00:00+00:00,2024-08-01 12:00:00+00:00,7.046,7.172828,-0.018000000000000016,0.0,-0.019600000000000017,stop
FILUSDT,2024-08-11 20:00:00+00:00,2024-08-12 08:00:00+00:00,3.55,3.6138999999999997,-0.018000000000000016,4.7329999999999996e-05,-0.01964733000000002,stop
TRXUSDT,2024-08-13 04:00:00+00:00,2024-08-13 16:00:00+00:00,0.12583,0.12809494,-0.018000000000000016,-0.00011466,-0.019485340000000018,stop
XLMUSDT,2024-08-15 20:00:00+00:00,2024-08-16 20:00:00+00:00,0.09526,0.0948,0.004828889355448229,0.00011531,0.0031135793554482294,time
UNIUSDT,2024-08-19 16:00:00+00:00,2024-08-19 20:00:00+00:00,6.07,6.17926,-0.018000000000000016,0.0,-0.019600000000000017,stop
AAVEUSDT,2024-08-28 00:00:00+00:00,2024-08-28 04:00:00+00:00,119.9,122.05820000000001,-0.018000000000000016,0.0,-0.019600000000000017,stop
BCHUSDT,2024-09-02 00:00:00+00:00,2024-09-02 08:00:00+00:00,312.3,317.9214,-0.018000000000000016,0.00016372,-0.019763720000000016,stop
TRXUSDT,2024-09-13 04:00:00+00:00,2024-09-14 04:00:00+00:00,0.15103,0.14778,0.02151890352910024,0.00196582,0.01795308352910024,time
NEARUSDT,2024-09-16 04:00:00+00:00,2024-09-16 08:00:00+00:00,3.947,4.018046,-0.018000000000000016,-2.467e-05,-0.019575330000000016,stop
FILUSDT,2024-09-16 16:00:00+00:00,2024-09-17 04:00:00+00:00,3.394,3.455092,-0.018000000000000016,0.0001186,-0.019718600000000017,stop
UNIUSDT,2024-12-26 12:00:00+00:00,2024-12-26 20:00:00+00:00,13.048,13.282864,-0.018000000000000016,-7.551e-05,-0.019524490000000016,stop
AAVEUSDT,2024-12-27 16:00:00+00:00,2024-12-28 12:00:00+00:00,325.66,331.52188,-0.018000000000000016,-0.0002,-0.019400000000000018,stop
ATOMUSDT,2024-12-29 20:00:00+00:00,2024-12-30 00:00:00+00:00,6.356,6.470408,-0.018000000000000016,9.887e-05,-0.019698870000000018,stop
ETCUSDT,2024-12-30 16:00:00+00:00,2024-12-30 20:00:00+00:00,25.033,25.483594,-0.018000000000000016,0.0,-0.019600000000000017,stop
AAVEUSDT,2024-12-31 04:00:00+00:00,2024-12-31 08:00:00+00:00,313.66,319.30588000000006,-0.018000000000000016,-0.0001,-0.019500000000000017,stop
NEARUSDT,2025-01-01 00:00:00+00:00,2025-01-01 04:00:00+00:00,4.91,4.99838,-0.018000000000000016,0.0,-0.019600000000000017,stop
AAVEUSDT,2025-01-07 20:00:00+00:00,2025-01-08 04:00:00+00:00,308.22,298.9734,0.030000000000000027,-0.0001,0.028500000000000025,target
TRXUSDT,2025-01-12 20:00:00+00:00,2025-01-13 00:00:00+00:00,0.23556,0.22849319999999998,0.030000000000000027,0.00026511,0.028134890000000027,target
FILUSDT,2025-01-13 04:00:00+00:00,2025-01-13 08:00:00+00:00,4.995,4.84515,0.029999999999999916,3.593e-05,0.028364069999999915,target
XLMUSDT,2025-01-27 08:00:00+00:00,2025-01-27 12:00:00+00:00,0.37854,0.38535372,-0.018000000000000016,0.0,-0.019600000000000017,stop
TRXUSDT,2025-02-02 16:00:00+00:00,2025-02-02 20:00:00+00:00,0.23904,0.23186879999999999,0.030000000000000027,0.0,0.028400000000000026,target
ATOMUSDT,2025-02-16 04:00:00+00:00,2025-02-16 08:00:00+00:00,4.749,4.8344819999999995,-0.018000000000000016,0.0002532,-0.019853200000000015,stop
XLMUSDT,2025-02-17 20:00:00+00:00,2025-02-18 04:00:00+00:00,0.33398,0.3239606,0.030000000000000027,-5.328e-05,0.028453280000000025,target
XLMUSDT,2025-02-18 08:00:00+00:00,2025-02-19 04:00:00+00:00,0.32503,0.33088054,-0.018000000000000016,-4.566e-05,-0.019554340000000017,stop
DOTUSDT,2025-02-24 04:00:00+00:00,2025-02-24 12:00:00+00:00,4.79,4.6463,0.030000000000000027,0.00017774,0.028222260000000027,target
