name,signal,tp,sl,hold,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct
breakout20_tp0.030_sl0.018_h20,breakout20,0.03,0.018,20,train,265,0.4828713708994967,0.001763708632951597,0.4490566037735849,0.02766709354464197,0.028560000000000026,-0.01934932427452206,1.1654451558798629,-0.22264297430030333,0.42641509433962266,0.9495798319327731,-0.0006196784104359185,0.6666666666666666,265,0.22549260833933138,0.0010437086329515986,0.4490566037735849,0.026947093544641955,0.027840000000000028,-0.020069324274522054,1.0943929466576388,-0.236106615141358,0.42641509433962266,0.9495798319327731,-0.0013396784104359168,0.5555555555555556
breakout20_tp0.030_sl0.018_h20,breakout20,0.03,0.018,20,test,194,-0.4463328480857669,-0.002786807582881322,0.35051546391752575,0.02800403633597913,0.028560000000000026,-0.01940408842798062,0.7788713964717887,-0.5925354764677843,0.33505154639175255,0.9852941176470589,-0.005442355031066487,0.25,194,-0.5187575964557132,-0.0035068075828813207,0.35051546391752575,0.02728403633597914,0.027840000000000028,-0.02012408842798062,0.7316961498796936,-0.6262544411031277,0.33505154639175255,0.9852941176470589,-0.006162355031066487,0.25
breakout55_tp0.022_sl0.012_h5,breakout55,0.022,0.012,5,train,386,0.07368762341343782,0.0003123683654223068,0.41968911917098445,0.018680719592903343,0.02056000000000002,-0.012971885647309514,1.041495711906201,-0.3013128750002997,0.3626943005181347,0.8641975308641975,-0.0010377526749324152,0.5555555555555556,386,-0.18690333987719454,-0.00040763163457769317,0.4170984455958549,0.018075822723530595,0.01984000000000002,-0.013633570086379618,0.9487064128552368,-0.37753316304156725,0.3626943005181347,0.0,-0.0017577526749324153,0.5555555555555556
breakout55_tp0.022_sl0.012_h5,breakout55,0.022,0.012,5,test,239,-0.022445995621938608,3.741677026898193e-05,0.40585774058577406,0.019486826131878854,0.02056000000000002,-0.01324844737111241,1.0047534712239083,-0.31370868558053366,0.3723849372384937,0.9175257731958762,-0.0016360613414986614,0.25,239,-0.17706889471582699,-0.0006825832297310183,0.40585774058577406,0.018766826131878855,0.01984000000000002,-0.013968447371112407,0.917753574033479,-0.37926602253521824,0.3723849372384937,0.0,-0.002356061341498662,0.25
breakout55_tp0.022_sl0.012_h10,breakout55,0.022,0.012,10,train,364,0.2697720843446405,0.0007935640067544435,0.4258241758241758,0.019917554592770673,0.02056000000000002,-0.01338929982498008,1.1032236453876427,-0.27037807131632385,0.4065934065934066,0.9548387096774194,-0.0006320202860854491,0.6666666666666666,364,-0.022933704542131172,7.356400675444348e-05,0.4258241758241758,0.01919755459277068,0.01984000000000002,-0.01410929982498008,1.0090806097287488,-0.3207529946913019,0.4065934065934066,0.0,-0.0013520202860854496,0.5555555555555556
breakout55_tp0.022_sl0.012_h10,breakout55,0.022,0.012,10,test,233,-0.08663371586565738,-0.00025283922494307473,0.38626609442060084,0.02056000000000002,0.02056000000000002,-0.013351828946935236,0.9691451404363859,-0.3410870058729837,0.38626609442060084,1.0,-0.0020039121863164666,0.25,233,-0.22781164078910587,-0.0009728392249430743,0.38626609442060084,0.019840000000000024,0.01984000000000002,-0.014071828946935231,0.8873553916694561,-0.40275752050676406,0.38626609442060084,0.0,-0.0027239121863164664,0.25
breakout55_tp0.022_sl0.012_h20,breakout55,0.022,0.012,20,train,362,0.18967480820051863,0.0006191070959528594,0.4143646408839779,0.02048931179156625,0.02056000000000002,-0.013440000000000014,1.0786573340405063,-0.2906845113128973,0.4116022099447514,0.9933333333333333,-0.0008483140712574412,0.6666666666666666,362,-0.08329075340302228,-0.00010089290404714096,0.4143646408839779,0.019769311791566258,0.01984000000000002,-0.014160000000000013,0.9878333762175326,-0.33919509246666646,0.4116022099447514,0.0,-0.0015683140712574413,0.4444444444444444
breakout55_tp0.022_sl0.012_h20,breakout55,0.022,0.012,20,test,232,-0.11632774433445603,-0.00039689655172413067,0.38362068965517243,0.020560000000000023,0.02056000000000002,-0.013440000000000004,0.9520895770895779,-0.3410870058729836,0.38362068965517243,1.0,-0.002155517241379307,0.25,232,-0.2523953529080809,-0.00111689655172413,0.38362068965517243,0.019840000000000024,0.01984000000000002,-0.014159999999999997,0.8720319228793818,-0.40275752050676494,0.38362068965517243,0.0,-0.0028755172413793073,0.25
breakout55_tp0.022_sl0.018_h5,breakout55,0.022,0.018,5,train,357,-0.2097999786391881,-0.00048610548830962957,0.47619047619047616,0.018324047423491783,0.02056000000000002,-0.01758624449903819,0.9472303726562048,-0.35876672968285106,0.3865546218487395,0.8117647058823529,-0.002105828499693522,0.5555555555555556,357,-0.3890963803048556,-0.0012061054883096283,0.47619047619047616,0.017604047423491788,0.01984000000000002,-0.018306244499038185,0.8742196946371202,-0.4891110029284651,0.3865546218487395,0.0,-0.0028258284996935203,0.3333333333333333
breakout55_tp0.022_sl0.018_h5,breakout55,0.022,0.018,5,test,230,-0.41387598346260035,-0.0021322934315145675,0.43478260869565216,0.01970622246617109,0.02056000000000002,-0.018931151814349692,0.8007242673314419,-0.5084873897018327,0.4043478260869565,0.93,-0.0041959453363691075,0.25,230,-0.503563678065146,-0.002852293431514566,0.43478260869565216,0.0189862224661711,0.01984000000000002,-0.01965115181434969,0.7432025690104628,-0.5542659023837155,0.4043478260869565,0.0,-0.004915945336369107,0.25
breakout55_tp0.022_sl0.018_h10,breakout55,0.022,0.018,10,train,317,-0.3282395248941442,-0.0010664378852620138,0.47003154574132494,0.019154470254271385,0.02056000000000002,-0.019000457604252945,0.8940937757453733,-0.421894430535247,0.42586750788643535,0.9060402684563759,-0.002892704012489818,0.3333333333333333,317,-0.4655437683334067,-0.0017864378852620122,0.47003154574132494,0.01843447025427139,0.01984000000000002,-0.019720457604252947,0.8290689688751947,-0.5290411961751256,0.42586750788643535,0.0,-0.003612704012489817,0.3333333333333333
breakout55_tp0.022_sl0.018_h10,breakout55,0.022,0.018,10,test,213,-0.31764434541196984,-0.0015971560126060538,0.4460093896713615,0.02038765648150666,0.02056000000000002,-0.019296793190069685,0.8505968361394881,-0.5117155905754378,0.4413145539906103,0.9894736842105263,-0.003773810311869585,0.25,213,-0.4148723228477721,-0.0023171560126060524,0.4460093896713615,0.019667656481506673,0.01984000000000002,-0.02001679319006969,0.7910423047192918,-0.5549572393164803,0.4413145539906103,0.0,-0.004493810311869585,0.25
breakout55_tp0.022_sl0.018_h20,breakout55,0.022,0.018,20,train,303,-0.15145952847843136,-0.0003441871983179587,0.47854785478547857,0.020372362917171583,0.02056000000000002,-0.019356211038482417,0.9658995660120644,-0.2598521861149242,0.47194719471947194,0.9862068965517241,-0.002234591894654187,0.4444444444444444,303,-0.31793998752086183,-0.001064187198317957,0.47854785478547857,0.01965236291717159,0.01984000000000002,-0.020076211038482412,0.8983466209568465,-0.3817524846342495,0.47194719471947194,0.0,-0.002954591894654185,0.4444444444444444
breakout55_tp0.022_sl0.018_h20,breakout55,0.022,0.018,20,test,212,-0.4307304638339885,-0.002458867924528301,0.42452830188679247,0.02056000000000002,0.02056000000000002,-0.019440000000000016,0.7802064359441411,-0.5654921054739575,0.42452830188679247,1.0,-0.00472301886792453,0.25,212,-0.5115570420072237,-0.0031788679245282996,0.42452830188679247,0.019840000000000024,0.01984000000000002,-0.020160000000000018,0.7259953161592508,-0.6042899097964813,0.42452830188679247,0.0,-0.00544301886792453,0.25
breakout55_tp0.030_sl0.012_h5,breakout55,0.03,0.012,5,train,347,0.4147416204016352,0.001169321371755036,0.39481268011527376,0.022729715735979074,0.028560000000000026,-0.012896269237286359,1.149823513013641,-0.20257656514261924,0.2680115273775216,0.708029197080292,-0.0004987548966164486,0.5555555555555556,347,0.1021082282454151,0.00044932137175503596,0.3919308357348703,0.022175749560788362,0.027840000000000028,-0.013554442769043691,1.0545158047465513,-0.3016104211336833,0.2680115273775216,0.7132352941176471,-0.0012187548966164487,0.4444444444444444
breakout55_tp0.030_sl0.012_h5,breakout55,0.03,0.012,5,test,217,0.002441989637838482,0.0001866790862883828,0.35023041474654376,0.02494379222112206,0.028560000000000026,-0.01315758047574963,1.021835354782172,-0.2718596844371426,0.2764976958525346,0.8289473684210527,-0.0018879231990332787,0.5,217,-0.1426274143895584,-0.0005333209137116174,0.3456221198156682,0.02455085541372377,0.027840000000000028,-0.013782005593695093,0.9408645941001381,-0.3361492772831949,0.2764976958525346,0.84,-0.002607923199033279,0.5
