candidate,family,profile,split,total_return,cagr,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months
topmom_126_8_21_200,top_momentum,unlevered,test,2.333619832156549,0.4025107127837453,1.675295187194858,-0.16093343498070622,0.030400566804261675,-0.08571383974022584,0.627906976744186,0.16279069767441862,0.0,43
topmom_126_8_21_200,top_momentum,base,train,4.138426955915431,0.22727534461274224,1.162328360378269,-0.23796195090823014,0.01868181075760296,-0.1267438522716875,0.53125,0.08333333333333333,0.020833333333333332,96
topmom_126_8_21_200,top_momentum,base,test,2.2230439685281205,0.38928233248640387,1.6550202384321613,-0.15285150113063106,0.029641453341223797,-0.06767192744541906,0.627906976744186,0.13953488372093023,0.0,43
topmom_126_8_21_200,top_momentum,balanced,train,10.047557263979568,0.35063433048343673,1.1417321040571793,-0.3865033341728077,0.028887379848929234,-0.1836883476798804,0.5208333333333334,0.14583333333333334,0.0625,96
topmom_126_8_21_200,top_momentum,balanced,test,5.5638565859065405,0.6965621587584105,1.6585850921107914,-0.2572458122267266,0.05052417436251066,-0.11689816317544599,0.627906976744186,0.3488372093023256,0.06976744186046512,43
topmom_126_8_63_200,top_momentum,unlevered,train,1.9145244973587738,0.14321688712168634,0.7347137876391038,-0.3054686295022955,0.012336725361663388,-0.09850829126758587,0.4791666666666667,0.041666666666666664,0.0,96
topmom_126_8_63_200,top_momentum,unlevered,test,1.4516439640478458,0.28650885998497255,1.228640590487584,-0.21649801290635684,0.02323218147607789,-0.09055626314093557,0.5116279069767442,0.11627906976744186,0.0,43
topmom_126_8_63_200,top_momentum,base,train,2.511687228911419,0.17019218660983038,0.9047143635011785,-0.286563287535182,0.0146608980448772,-0.12324743257248749,0.4791666666666667,0.0625,0.03125,96
topmom_126_8_63_200,top_momentum,base,test,1.3473319964860853,0.27088979243190203,1.2345456286049938,-0.2089001216627686,0.0221387550687385,-0.07961756469910564,0.5116279069767442,0.09302325581395349,0.0,43
topmom_126_8_63_200,top_momentum,balanced,train,5.180426206763453,0.2559590890365091,0.8895301167044506,-0.39997568279762563,0.022766191033208708,-0.17795932503488454,0.4583333333333333,0.13541666666666666,0.07291666666666667,96
topmom_126_8_63_200,top_momentum,balanced,test,2.676158530668656,0.44158365995695403,1.203014927136646,-0.3414746360620218,0.03662687825170366,-0.1387990822797035,0.5116279069767442,0.3023255813953488,0.09302325581395349,43
topmom_126_10_5_200,top_momentum,unlevered,train,2.2727493160462973,0.15991992634385976,0.9819297217851342,-0.20797279045590644,0.013409959210877278,-0.12770350876697034,0.5208333333333334,0.041666666666666664,0.010416666666666666,96
topmom_126_10_5_200,top_momentum,unlevered,test,1.1880927275221453,0.24605398531349043,1.2329424688757484,-0.16690415772695533,0.01999053238772716,-0.11346401436347697,0.6046511627906976,0.06976744186046512,0.023255813953488372,43
topmom_126_10_5_200,top_momentum,base,train,3.11553510072122,0.19365702454064637,1.046064787093888,-0.24540766543426507,0.016209471389046697,-0.12460698047471153,0.5208333333333334,0.08333333333333333,0.041666666666666664,96
topmom_126_10_5_200,top_momentum,base,test,1.4745708577022922,0.28987749412765473,1.309350466443135,-0.16321917604874125,0.02331894370834986,-0.10458369086020858,0.6046511627906976,0.06976744186046512,0.023255813953488372,43
topmom_126_10_5_200,top_momentum,balanced,train,6.768938057811917,0.29242612701924875,1.0368111314925852,-0.3581200684044378,0.02476333277909307,-0.209522482479372,0.5208333333333334,0.14583333333333334,0.052083333333333336,96
topmom_126_10_5_200,top_momentum,balanced,test,3.046000170038252,0.4809339980776981,1.2979750510939239,-0.27555470972973917,0.03855872592612065,-0.17806715549330376,0.6046511627906976,0.3023255813953488,0.06976744186046512,43
topmom_126_10_21_200,top_momentum,unlevered,train,2.5027932849436305,0.16982094343855492,1.0094151969503435,-0.25541910113541566,0.014104457632449741,-0.09222267036846499,0.5520833333333334,0.041666666666666664,0.0,96
topmom_126_10_21_200,top_momentum,unlevered,test,1.856434329740285,0.34294320813021106,1.6198606807232736,-0.16256437446418015,0.02630473360206819,-0.06937985211714603,0.6046511627906976,0.09302325581395349,0.0,43
topmom_126_10_21_200,top_momentum,base,train,3.7378392530659195,0.21487445620109802,1.1272395988122126,-0.2401818528455787,0.017677830250903984,-0.12087213058883606,0.5520833333333334,0.07291666666666667,0.010416666666666666,96
topmom_126_10_21_200,top_momentum,base,test,2.0809215703237536,0.3717918153088391,1.6221567711924472,-0.16301850767595638,0.028483878405066953,-0.06556647779381519,0.6046511627906976,0.09302325581395349,0.0,43
topmom_126_10_21_200,top_momentum,balanced,train,7.940823047492019,0.31534683148753273,1.079973999570692,-0.3842368254871156,0.026173894758441202,-0.17271783568478816,0.5520833333333334,0.16666666666666666,0.0625,96
topmom_126_10_21_200,top_momentum,balanced,test,4.774629315444586,0.6365899657330665,1.6033572585701863,-0.27568578355591566,0.046891464246639564,-0.11484292917139416,0.6046511627906976,0.3023255813953488,0.06976744186046512,43
topmom_126_10_63_200,top_momentum,unlevered,train,1.7085416631182535,0.13278021733134526,0.7128910996492792,-0.3246542285930063,0.011412988262800558,-0.0918259280257081,0.4895833333333333,0.041666666666666664,0.0,96
topmom_126_10_63_200,top_momentum,unlevered,test,1.4303955077470456,0.2833665517005983,1.3380442192517785,-0.18755733700057065,0.022595666457896135,-0.08092618227737625,0.5348837209302325,0.11627906976744186,0.0,43
topmom_126_10_63_200,top_momentum,base,train,2.5448017439624864,0.17156722942148828,0.922590430524579,-0.25970520569241506,0.01460637606156156,-0.11149924821733959,0.46875,0.0625,0.03125,96
topmom_126_10_63_200,top_momentum,base,test,1.531579669243484,0.29815755686670076,1.3590656738816844,-0.1883305052510048,0.023829094668025283,-0.07877994760902873,0.5116279069767442,0.09302325581395349,0.0,43
topmom_126_10_63_200,top_momentum,balanced,train,4.616266150482436,0.24100631029101094,0.8652140068404719,-0.39588174518983354,0.021319423185351936,-0.16462193216156318,0.46875,0.13541666666666666,0.08333333333333333,96
topmom_126_10_63_200,top_momentum,balanced,test,3.0229643429209982,0.4785603697991794,1.3017168052572448,-0.3091270104378756,0.03827320929764379,-0.1377446957975994,0.5116279069767442,0.27906976744186046,0.09302325581395349,43
topmom_252_3_5_200,top_momentum,unlevered,train,6.2091361042915025,0.2803888781594266,1.1140121368592417,-0.3174403064362513,0.023367133890962916,-0.1748612962668914,0.46875,0.125,0.020833333333333332,96
topmom_252_3_5_200,top_momentum,unlevered,test,1.9256257854791272,0.3520036057389835,1.125002198198832,-0.3232663512577003,0.029474321487467856,-0.2109580641705675,0.5581395348837209,0.20930232558139536,0.046511627906976744,43
topmom_252_3_5_200,top_momentum,base,train,5.242338931779862,0.25752649919888215,1.270325488132431,-0.23019310802700255,0.020908685691820084,-0.15619655437925817,0.46875,0.09375,0.010416666666666666,96
topmom_252_3_5_200,top_momentum,base,test,1.783058757660307,0.3331608153952934,1.3664417136682971,-0.25613054814035274,0.02661414260548023,-0.08943116995422817,0.5813953488372093,0.13953488372093023,0.0,43
topmom_252_3_5_200,top_momentum,balanced,train,17.136030905511923,0.43705703509587934,1.2679390472507208,-0.36693574991083067,0.03547784317977757,-0.2613623486950125,0.4583333333333333,0.19791666666666666,0.041666666666666664,96
topmom_252_3_5_200,top_momentum,balanced,test,3.9871021203918415,0.5705472856284903,1.3457324212403607,-0.4091766079741622,0.04518050604753701,-0.15311422075674674,0.5813953488372093,0.27906976744186046,0.06976744186046512,43
topmom_252_3_21_200,top_momentum,unlevered,train,5.024730932954089,0.2519558721004733,1.0236401030530489,-0.37545145378249956,0.021462416782603605,-0.17573191164621127,0.46875,0.09375,0.03125,96
topmom_252_3_21_200,top_momentum,unlevered,test,3.1655800136639494,0.4931018472630635,1.4355575379804426,-0.26118592628380144,0.03872638418865523,-0.18474046914039655,0.5116279069767442,0.2558139534883721,0.023255813953488372,43
topmom_252_3_21_200,top_momentum,base,train,3.7832811038433185,0.21632634417079788,1.091999440574294,-0.28579587697455155,0.018078681170173586,-0.18639000771917935,0.46875,0.08333333333333333,0.020833333333333332,96
topmom_252_3_21_200,top_momentum,base,test,2.323639810541387,0.4013298547217419,1.6193597478393955,-0.2001673198989402,0.0307172841524905,-0.07509190445339897,0.5348837209302325,0.16279069767441862,0.0,43
topmom_252_3_21_200,top_momentum,balanced,train,10.494678659789313,0.3573559311255592,1.0891554934023007,-0.45480923676114493,0.030521390693691697,-0.2980655353508782,0.46875,0.14583333333333334,0.03125,96
topmom_252_3_21_200,top_momentum,balanced,test,5.491107919009465,0.6912584217091318,1.5626784275433234,-0.33310830678264247,0.05125329099719493,-0.1294165426675572,0.5116279069767442,0.2558139534883721,0.09302325581395349,43
topmom_252_3_63_200,top_momentum,unlevered,train,3.419163274944407,0.20433584541053196,0.7937467918442773,-0.41682393707653176,0.018163415076156625,-0.17573191164621127,0.46875,0.10416666666666667,0.03125,96
topmom_252_3_63_200,top_momentum,unlevered,test,2.0469217929306485,0.36752186925981056,1.15234858724735,-0.27685724171674897,0.030595341426338903,-0.18474046914039655,0.5348837209302325,0.20930232558139536,0.06976744186046512,43
topmom_252_3_63_200,top_momentum,base,train,2.7675830035957634,0.1805363416022221,0.9078421579298672,-0.3047462442061465,0.015584022748580355,-0.1778297537727238,0.4583333333333333,0.0625,0.010416666666666666,96
topmom_252_3_63_200,top_momentum,base,test,1.8682321718033514,0.3444991745239476,1.387754528910194,-0.19476796810642127,0.02721474335241481,-0.07564838755456105,0.5348837209302325,0.11627906976744186,0.0,43
topmom_252_3_63_200,top_momentum,balanced,train,6.2651493890784655,0.28162944265274126,0.8899926427555965,-0.45945553028868824,0.025757835199499854,-0.2954764818205353,0.4479166666666667,0.16666666666666666,0.041666666666666664,96
topmom_252_3_63_200,top_momentum,balanced,test,3.7131755188373683,0.5458179268192844,1.332885022538658,-0.3033034984270393,0.04284331193980517,-0.13034790988118228,0.5116279069767442,0.20930232558139536,0.09302325581395349,43
topmom_252_5_5_200,top_momentum,unlevered,train,4.478839247687339,0.2371653956213733,1.139633808934683,-0.23524183724081116,0.019398925896786573,-0.13560998005907965,0.4895833333333333,0.08333333333333333,0.020833333333333332,96
topmom_252_5_5_200,top_momentum,unlevered,test,2.2847141211375783,0.39669956656806526,1.4597755246001676,-0.24017779220865387,0.030765950386183457,-0.15719861744990793,0.6046511627906976,0.11627906976744186,0.046511627906976744,43
topmom_252_5_5_200,top_momentum,base,train,5.153753694304156,0.25527959854712834,1.2948591405690713,-0.22052409985465105,0.020581920313823245,-0.15445512497094704,0.4791666666666667,0.09375,0.010416666666666666,96
topmom_252_5_5_200,top_momentum,base,test,2.3047633498541926,0.399089360231627,1.6470790259689134,-0.17371257741784307,0.030377948684599886,-0.10013188866859069,0.6046511627906976,0.11627906976744186,0.023255813953488372,43
topmom_252_5_5_200,top_momentum,balanced,train,15.5123883822225,0.4202912285336091,1.2926929113148056,-0.33315180316176773,0.033621058843877775,-0.23851577517768563,0.46875,0.13541666666666666,0.03125,96
topmom_252_5_5_200,top_momentum,balanced,test,5.584520849480778,0.6980609728362603,1.621719368425519,-0.2898272489931498,0.05089666846107568,-0.17078274827889994,0.6046511627906976,0.2558139534883721,0.046511627906976744,43
topmom_252_5_21_200,top_momentum,unlevered,train,3.8932464442851176,0.21979047171457444,1.04432162329747,-0.3278470010684422,0.018209818886586893,-0.13700128867911,0.5208333333333334,0.0625,0.03125,96
topmom_252_5_21_200,top_momentum,unlevered,test,2.8732483816995806,0.4628904456459424,1.622995845770246,-0.17789464397490307,0.03465485112137264,-0.10119617641132828,0.6046511627906976,0.18604651162790697,0.023255813953488372,43
topmom_252_5_21_200,top_momentum,base,train,4.767508414658096,0.24513944632434415,1.2375271584510446,-0.25108020106586293,0.019833575232380374,-0.15416834686372616,0.53125,0.08333333333333333,0.010416666666666666,96
topmom_252_5_21_200,top_momentum,base,test,2.5100526265877483,0.4229789557712196,1.7424300472072498,-0.13458374741349877,0.03157341680289955,-0.06745821512346617,0.6046511627906976,0.16279069767441862,0.0,43
topmom_252_5_21_200,top_momentum,balanced,train,12.925927324769303,0.39033674134495966,1.2067676219036871,-0.4001962871035559,0.03168645463172349,-0.2463759783313706,0.5208333333333334,0.14583333333333334,0.041666666666666664,96
topmom_252_5_21_200,top_momentum,balanced,test,6.217087075921933,0.7423891653620136,1.6986746669978596,-0.22804468703965786,0.05257780642910249,-0.11884807652429852,0.6046511627906976,0.3023255813953488,0.023255813953488372,43
topmom_252_5_63_200,top_momentum,unlevered,train,2.0584766040827773,0.15013391913355334,0.6776519236931315,-0.38413727308092493,0.013276133033329899,-0.1312746400344027,0.4583333333333333,0.052083333333333336,0.041666666666666664,96
topmom_252_5_63_200,top_momentum,unlevered,test,1.2424244786797036,0.2546697363341761,0.9746557781151342,-0.2974230293231567,0.02184115697100017,-0.11199566046715537,0.5348837209302325,0.16279069767441862,0.046511627906976744,43
topmom_252_5_63_200,top_momentum,base,train,2.3488419475723865,0.1632605155290956,0.8538207957801336,-0.2749063286647815,0.014028839025359669,-0.14010447958832406,0.46875,0.0625,0.010416666666666666,96
topmom_252_5_63_200,top_momentum,base,test,1.263266479891425,0.25793496149638906,1.1705160668474468,-0.2048268611041254,0.02122382569831056,-0.07340785276518635,0.5348837209302325,0.09302325581395349,0.0,43
topmom_252_5_63_200,top_momentum,balanced,train,4.551694594548271,0.23921197699387853,0.8144358911653102,-0.42427532449660765,0.02187364998226085,-0.23477409041910868,0.4583333333333333,0.11458333333333333,0.03125,96
topmom_252_5_63_200,top_momentum,balanced,test,2.2194547235490587,0.38884751255653627,1.089777400025275,-0.3386688304907015,0.03319012960330914,-0.12865077802760927,0.5348837209302325,0.23255813953488372,0.11627906976744186,43
topmom_252_8_5_200,top_momentum,unlevered,train,3.6205004135763117,0.21106829646051017,1.1654631644113822,-0.20639736076421844,0.017176524436108096,-0.13051589179814305,0.4895833333333333,0.052083333333333336,0.020833333333333332,96
topmom_252_8_5_200,top_momentum,unlevered,test,1.3497603294821658,0.27125901500670113,1.2578271544825617,-0.186516908251807,0.021836654088618714,-0.12190172669161747,0.6046511627906976,0.11627906976744186,0.023255813953488372,43
topmom_252_8_5_200,top_momentum,base,train,5.043651808661425,0.2524471619640867,1.3109273326221165,-0.2198859396583731,0.020235045775475528,-0.14290059912604203,0.4895833333333333,0.0625,0.020833333333333332,96
topmom_252_8_5_200,top_momentum,base,test,1.6486540776719854,0.3147500976649382,1.4057660107585435,-0.15255434871905327,0.02487518041774479,-0.09366984377990317,0.6046511627906976,0.09302325581395349,0.0,43
topmom_252_8_5_200,top_momentum,balanced,train,12.940645503742568,0.3905205179950635,1.278198434147298,-0.31813509314173694,0.031105673315973095,-0.20843695732176948,0.46875,0.15625,0.03125,96
topmom_252_8_5_200,top_momentum,balanced,test,3.444801382347922,0.5205662438428384,1.3674492131917866,-0.2544365732785656,0.040678235787255136,-0.16026399490952248,0.6046511627906976,0.32558139534883723,0.046511627906976744,43
topmom_252_8_21_200,top_momentum,unlevered,train,2.704557755093893,0.17804707177424772,0.9897531151724825,-0.29631948864850877,0.01479948628546264,-0.11459806146156548,0.5104166666666666,0.041666666666666664,0.010416666666666666,96
