family,profile,year,total_return,cagr,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months
inverse_vol,base,2026,0.07815226731562497,0.13971367944834134,0.7741176505693564,-0.10176510315856613,0.012480263700155805,-0.05809894950364858,0.5714285714285714,0.14285714285714285,0.0,7
top_momentum,base,2023,0.29768528784464876,0.3003933383089761,1.2636998039517087,-0.14118886537655984,0.023502066881666745,-0.07602646831005744,0.6666666666666666,0.08333333333333333,0.0,12
top_momentum,base,2024,0.36742399585539864,0.36742399585539864,1.4991636741080498,-0.10807773631415352,0.0280422607828409,-0.060881241119891905,0.5833333333333334,0.16666666666666666,0.0,12
top_momentum,base,2025,0.054129602400187826,0.05457424710331105,0.3387206007481372,-0.16346721881044923,0.006236757690617323,-0.07056959320929168,0.4166666666666667,0.08333333333333333,0.0,12
top_momentum,base,2026,0.278389816419095,0.5324046583166353,1.9679252716957183,-0.08384061667334941,0.03832382560472304,-0.07697042615363248,0.5714285714285714,0.42857142857142855,0.0,7
dual_ema,balanced,2023,0.4962002607543985,0.5010309388715171,1.8810294490160635,-0.1406867126888527,0.03646584105241076,-0.09747774571815282,0.6666666666666666,0.16666666666666666,0.0,12
dual_ema,balanced,2024,0.45232735431260807,0.45232735431260807,1.537781172817429,-0.18679647756379025,0.0333911562783864,-0.07204500471961095,0.5833333333333334,0.16666666666666666,0.0,12
dual_ema,balanced,2025,0.4753604763709418,0.47995779355143897,1.8807558739455632,-0.12148591941042519,0.03536588095574749,-0.06876980650604714,0.5833333333333334,0.08333333333333333,0.0,12
dual_ema,balanced,2026,0.05875734857101289,0.10431888365343323,0.5326488559634215,-0.12929418256342673,0.011577966594397058,-0.10304715509588591,0.5714285714285714,0.14285714285714285,0.14285714285714285,7
inverse_vol,balanced,2023,0.5173417329266821,0.5224115496585124,2.028436879804786,-0.12532021931251658,0.03800987652312709,-0.09305977463073323,0.6666666666666666,0.16666666666666666,0.0,12
inverse_vol,balanced,2024,0.5389628465124232,0.5389628465124232,1.7467129969051352,-0.16458306700147063,0.038230751997642524,-0.07664164848846722,0.75,0.16666666666666666,0.0,12
inverse_vol,balanced,2025,0.5349536837149786,0.5402245365705609,1.983546263239457,-0.17358377460304042,0.03874758469042341,-0.10813062594967604,0.75,0.16666666666666666,0.08333333333333333,12
inverse_vol,balanced,2026,0.10527054205905562,0.1899957784398274,0.7981161392335085,-0.13425351028444288,0.01740632055011404,-0.07728912163435275,0.5714285714285714,0.14285714285714285,0.0,7
top_momentum,balanced,2023,0.5929701326931518,0.598914695720691,1.4389591251826364,-0.19042297746926518,0.043872293081294665,-0.10214520393139337,0.6666666666666666,0.25,0.16666666666666666,12
top_momentum,balanced,2024,0.6732530277360431,0.6732530277360431,1.4991636741080498,-0.18495845809108402,0.04884600795333393,-0.10532644340557051,0.5833333333333334,0.25,0.08333333333333333,12
top_momentum,balanced,2025,0.04331127818150571,0.0436652258581709,0.2968247422784509,-0.2516867901623012,0.008833535816212776,-0.12338504390399208,0.4166666666666667,0.16666666666666666,0.16666666666666666,12
top_momentum,balanced,2026,0.5068789672932299,1.0393319707490694,1.9679252716957183,-0.14420464400927757,0.06837478403199033,-0.13238919556632323,0.5714285714285714,0.5714285714285714,0.14285714285714285,7
