family,profile,annual_funding_drag,avg_gross_exposure,total_return,cagr,sharpe,max_drawdown,avg_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months
inverse_vol,base,0.05,1.3348231295185455,1.321022026614449,0.26687170202571386,1.3778237003563998,-0.1355378839826632,0.021120101105500774,-0.08061858711406644,0.6976744186046512,0.06976744186046512,0.0,43
inverse_vol,base,0.1,1.3348231295185455,0.830578456427161,0.18514268225956854,1.0154073939385866,-0.14262260425207895,0.01547794105693985,-0.08269919889113764,0.627906976744186,0.06976744186046512,0.0,43
inverse_vol,base,0.2,1.3348231295185455,0.1384551613128333,0.037101345799362084,0.2901811130757751,-0.17559715514431595,0.00428858487630721,-0.09218644710897728,0.5581395348837209,0.046511627906976744,0.0,43
inverse_vol,base,0.4,1.3348231295185455,-0.5600450040773386,-0.2060002257137462,-1.160158424941773,-0.5932726433636308,-0.017715081503217406,-0.11366207111728788,0.3023255813953488,0.0,0.06976744186046512,43
top_momentum,base,0.0,0.6701653785054571,1.3912770160200898,0.2775295043466226,1.1773121442223227,-0.16346721881044934,0.022363716360338626,-0.07697042615363248,0.5581395348837209,0.16279069767441862,0.0,43
top_momentum,base,0.05,0.6701653785054571,1.1226549574383782,0.23547038915081098,1.031975505305252,-0.17259513617204425,0.019522955768844476,-0.07850796775911595,0.5348837209302325,0.16279069767441862,0.0,43
top_momentum,base,0.1,0.6701653785054571,0.8841716719202766,0.19478942350821926,0.886584155223202,-0.18282166033765224,0.016690778351499725,-0.08004306459823873,0.5348837209302325,0.13953488372093023,0.0,43
top_momentum,base,0.2,0.6701653785054571,0.48448988138840554,0.11738362353232734,0.5956707155019281,-0.20551964990106586,0.011052061348148347,-0.08378588685694521,0.5348837209302325,0.09302325581395349,0.0,43
top_momentum,base,0.4,0.6701653785054571,-0.07872505908278804,-0.02277257966658952,0.013555232671786266,-0.30886398957047967,-0.0001235977136045616,-0.09148938831002762,0.46511627906976744,0.09302325581395349,0.0,43
dual_ema,balanced,0.0,1.3670128498503782,2.3942890724851593,0.4096350624213494,1.5530421817338158,-0.18679647756379048,0.03124930943254222,-0.10304715509588591,0.6046511627906976,0.13953488372093023,0.023255813953488372,43
dual_ema,balanced,0.05,1.3670128498503782,1.6620783044237983,0.3166187372244771,1.2682131977261788,-0.1912883096913225,0.025407215519328213,-0.10749998806898953,0.5813953488372093,0.11627906976744186,0.046511627906976744,43
dual_ema,balanced,0.1,1.3670128498503782,1.0876623165742996,0.229714284738751,0.9832113910686958,-0.19575670871605477,0.01959997663518107,-0.11193177057219106,0.5581395348837209,0.09302325581395349,0.046511627906976744,43
dual_ema,balanced,0.2,1.3670128498503782,0.28363425961417965,0.07266747989276046,0.4128423050758513,-0.213320176327627,0.008089242169301361,-0.12363597800494042,0.5348837209302325,0.06976744186046512,0.046511627906976744,43
dual_ema,balanced,0.4,1.3670128498503782,-0.5151453119371484,-0.1840250295663819,-0.7282831483138684,-0.5525684059985351,-0.014522939869119105,-0.14907306415265698,0.4418604651162791,0.046511627906976744,0.09302325581395349,43
inverse_vol,balanced,0.0,1.7190635451505016,2.9616436556229315,0.4721938453250978,1.7124995396445075,-0.1735837746030402,0.034923320985700335,-0.10813062594967604,0.6976744186046512,0.16279069767441862,0.023255813953488372,43
inverse_vol,balanced,0.05,1.7190635451505016,1.9187415652185011,0.3511090864999258,1.3597578237651986,-0.18151759515304156,0.027550595625853335,-0.11099944315313481,0.6976744186046512,0.11627906976744186,0.046511627906976744,43
inverse_vol,balanced,0.1,1.7190635451505016,1.150122815503519,0.2399410888351119,1.006677340089741,-0.18966497580937902,0.02023331010666007,-0.11386018372584772,0.627906976744186,0.11627906976744186,0.046511627906976744,43
inverse_vol,balanced,0.2,1.7190635451505016,0.1663812300080869,0.044186176124337395,0.2998422430075548,-0.23088712799785227,0.0057634358908425585,-0.12156130601827941,0.5813953488372093,0.06976744186046512,0.09302325581395349,43
inverse_vol,balanced,0.4,1.7190635451505016,-0.6572622991715893,-0.25979189025608085,-1.1141177457516585,-0.692037775350166,-0.02252872474639668,-0.1492105986824227,0.32558139534883723,0.046511627906976744,0.13953488372093023,43
top_momentum,balanced,0.0,1.1367985840101411,3.1904583251597627,0.49560168945934757,1.2203773247858503,-0.2518921948887535,0.03947082628916346,-0.13238919556632323,0.5581395348837209,0.27906976744186046,0.13953488372093023,43
top_momentum,balanced,0.05,1.1367985840101411,2.4239695532235346,0.4130871055962304,1.075331960154133,-0.26765085321582605,0.034568849743165486,-0.13492454441938362,0.5348837209302325,0.27906976744186046,0.13953488372093023,43
top_momentum,balanced,0.1,1.1367985840101411,1.7975311792687183,0.3351048283426066,0.9302214364287005,-0.2830817579859679,0.02969120153629807,-0.13745282091195854,0.5348837209302325,0.23255813953488372,0.13953488372093023,43
top_momentum,balanced,0.2,1.1367985840101411,0.8672178230306897,0.19175932128294293,0.6398309928933027,-0.3166130366272072,0.02000839443784643,-0.14248823192691895,0.5348837209302325,0.18604651162790697,0.16279069767441862,43
top_momentum,balanced,0.4,1.1367985840101411,-0.16870614615174118,-0.05058490312613195,0.05855579036684826,-0.4951287293911588,0.000929303585784629,-0.15247500920547052,0.46511627906976744,0.16279069767441862,0.20930232558139536,43
