candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,profit_factor,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,months
ema_72-336,ema,"[72, 336]",aggressive,test,0.11461677490154742,0.07105261427895182,0.7184744531511883,0.45430582322711166,-0.4127855306620958,1.0155361450630345,0.024025501804141747,-0.060623558254653265,0.3844144265142857,-0.2961368133995208,0.47368421052631576,0.42105263157894735,19
ema_72-336,ema,"[72, 336]",aggressive,full,1.2531915240616804,0.25443745747600977,0.7396752997099605,0.6752569123066506,-0.5608994296725738,1.0239453158456409,0.041581378967926456,-0.021790965915456706,0.7343910760261194,-0.2961368133995208,0.4883720930232558,0.3953488372093023,43
ema_72-504,ema,"[72, 504]",base,train,0.7712286649058511,0.33035485090941363,0.3860320906890457,0.9315618047741696,-0.3414637077526823,1.034712177504387,0.03130971135252239,0.0034344834413323477,0.3327562879805188,-0.1582169439241593,0.5416666666666666,0.2916666666666667,24
ema_72-504,ema,"[72, 504]",base,test,0.15277983082398316,0.09410666023610847,0.3636406434954428,0.42895014638027296,-0.22076580404325208,1.0147283194803811,0.01175420502325632,0.007217614175155873,0.17909980624148925,-0.13094366891128362,0.5263157894736842,0.21052631578947367,19
ema_72-504,ema,"[72, 504]",base,full,1.0418366806807504,0.22042747647764638,0.37631442536942594,0.7169152912335515,-0.3414637077526823,1.0257879359141266,0.022668906230288548,0.006502040929079689,0.3327562879805188,-0.1582169439241593,0.5348837209302325,0.2558139534883721,43
ema_72-504,ema,"[72, 504]",aggressive,train,1.2382993701235563,0.4952704272705277,0.7571128080380012,0.9081737666110279,-0.5991682297907462,1.0333512175515598,0.06255967845835869,-0.0030974491873757004,0.7345719871338607,-0.29877643628483286,0.5,0.2916666666666667,24
ema_72-504,ema,"[72, 504]",aggressive,test,0.08675871857770101,0.054040215704133754,0.7268929338178506,0.4351905117303173,-0.40617928313977747,1.0149462948467962,0.020874957108458343,0.0034439340378722427,0.37144550932662734,-0.24477254650126168,0.5263157894736842,0.2631578947368421,19
ema_72-504,ema,"[72, 504]",aggressive,full,1.4324913552687737,0.28152884009413603,0.7439240766489416,0.7041290614822475,-0.5991682297907462,1.0251129593905097,0.04414084809444925,0.001075070964673408,0.7345719871338607,-0.29877643628483286,0.5116279069767442,0.27906976744186046,43
tsmom_72,tsmom,[72],base,train,-0.1716637962777201,-0.0897529756947818,0.37219773525513045,-0.06744874791848574,-0.46945626694843123,0.9975644232304882,-0.003481821887354806,-0.013175019990506465,0.2145616720850516,-0.16220704321075163,0.4583333333333333,0.125,24
tsmom_72,tsmom,[72],base,test,-0.6377590837658323,-0.4739468606561581,0.3573976250866259,-1.6187848462516203,-0.6725639920900925,0.9457785859780834,-0.04755669454639483,-0.06360798699854153,0.1228235568131093,-0.20684458968787278,0.3684210526315789,0.05263157894736842,19
