candidate,family,cost_profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,funding_return_sum,basis_return_sum,annual_turnover,active_time_pct,months
fixed_MAJORS3,fixed,taker,test,0.033751216488535185,0.021220038587048462,0.009726944418715851,2.163612313608649,-0.009246372525981261,0.0017526547991039785,0.0017504660911356051,0.006502714031616952,-0.0049057140610382355,0.7368421052631579,0.0,0.0,0.035280823333333336,-1.1893781674284399e-05,0.6325823223570191,1.0,19
fixed_MAJORS3,fixed,taker,full,0.24358551383374683,0.06272346806515117,0.018898575204486647,3.2284610687809447,-0.01951752108955096,0.005105527705707512,0.0037454631203288624,0.03455730410263769,-0.007220360334008191,0.8372093023255814,0.0,0.0,0.22229748,0.0003405279097091718,0.5581217546430506,0.9999681437354656,43
fixed_MAJORS3,fixed,optimistic_limit,train,0.2037067647301789,0.09700237219816077,0.023727574333117556,3.9137009612070894,-0.019517521089551515,0.0077847603708576145,0.006041324377770274,0.03455730410263769,-0.006623361595872845,0.9166666666666666,0.0,0.0,0.18701665666666667,0.0003524216913834606,0.4993444678789261,0.9999429972068631,24
fixed_MAJORS3,fixed,optimistic_limit,test,0.03437272216078302,0.02160838337943294,0.009659527571191822,2.2180055860528265,-0.009246372525981261,0.0017843524706104372,0.002335065149698723,0.006502714031616952,-0.0049057140610382355,0.7368421052631579,0.0,0.0,0.035280823333333336,-1.1893781674284399e-05,0.6325823223570191,1.0,19
fixed_MAJORS3,fixed,optimistic_limit,full,0.24508144291729272,0.06308005575827469,0.01886609679592078,3.25176892812108,-0.019517521089551515,0.005133417345167001,0.0037454631203288624,0.03455730410263769,-0.006623361595872845,0.8372093023255814,0.0,0.0,0.22229748,0.0003405279097091718,0.5581217546430506,0.9999681437354656,43
fixed_TOP5,fixed,taker,train,0.13979101630109625,0.06751838689658274,0.021649289358036894,3.0287765139095373,-0.018550194292877964,0.005493758281517135,0.0035317879097789273,0.03311617412331613,-0.00468902235624058,0.875,0.0,0.0,0.13369339800000002,-0.0003795187675329492,0.4993444678789261,0.9999429972068631,24
fixed_TOP5,fixed,taker,test,0.023477695769234197,0.014788195675480953,0.008321937560990807,1.7681638933212533,-0.006944297596603088,0.00122540273717834,0.0017109472132681436,0.0059929267201115355,-0.004045763057173968,0.631578947368421,0.0,0.0,0.024986102000000003,0.00027498038844087015,0.6325823223570191,1.0,19
fixed_TOP5,fixed,taker,full,0.16655068302232934,0.04392712132204135,0.017103999772992245,2.521972928810751,-0.018550194292877964,0.0036077407154139467,0.002190052906569262,0.03311617412331613,-0.00468902235624058,0.7674418604651163,0.0,0.0,0.1586795,-0.00010453837909207364,0.5581217546430506,0.9999681437354656,43
fixed_TOP5,fixed,optimistic_limit,train,0.14047651550228224,0.06783893407653041,0.02162051868059601,3.0466644581611555,-0.018550194292878297,0.005518700166709083,0.0035317879097789273,0.03311617412331613,-0.004090417111633826,0.875,0.0,0.0,0.13369339800000002,-0.0003795187675329492,0.4993444678789261,0.9999429972068631,24
fixed_TOP5,fixed,optimistic_limit,test,0.024093034803281066,0.01517410083349735,0.00824232812080215,1.8312907093734,-0.006944297596603088,0.0012570979471748672,0.001784773147179397,0.0059929267201115355,-0.004045763057173968,0.631578947368421,0.0,0.0,0.024986102000000003,0.00027498038844087015,0.6325823223570191,1.0,19
fixed_TOP5,fixed,optimistic_limit,full,0.1679540558826107,0.0442774295636863,0.01706660995753459,2.5471196425547884,-0.018550194292878297,0.003635666627845127,0.002241037808684121,0.03311617412331613,-0.004090417111633826,0.7674418604651163,0.0,0.0,0.1586795,-0.00010453837909207364,0.5581217546430506,0.9999681437354656,43
fixed_ALL10,fixed,taker,train,0.19044397587984374,0.09095001141761228,0.019473683609056405,4.479822943565818,-0.015382332264087695,0.007317404579864101,0.004841867219498752,0.036038620894192075,0.0006173840066032721,1.0,0.0,0.0,0.17729285900000002,-0.0005864984826649535,0.4993444678789261,0.9999429972068631,24
fixed_ALL10,fixed,taker,test,0.03572189831199957,0.02245111459355842,0.011026143175010533,2.0191657556294307,-0.004623519312995872,0.0018518292155885448,0.0014746521486208586,0.006649755840832938,-0.002736351173705742,0.7894736842105263,0.0,0.0,0.03634111,0.0008536937888469689,0.6325823223570191,1.0,19
fixed_ALL10,fixed,taker,full,0.2329688945323447,0.06018383594914467,0.016299545370295675,3.593670972494751,-0.015382332264087695,0.004902382907277228,0.0029777833060506964,0.036038620894192075,-0.002736351173705742,0.9069767441860465,0.0,0.0,0.213633969,0.0002671953061820088,0.5581217546430506,0.9999681437354656,43
fixed_ALL10,fixed,optimistic_limit,train,0.19115980066237337,0.09127753117615556,0.01944462776253256,4.501925281233486,-0.015382332264087695,0.00734248159840901,0.004841867219498752,0.036038620894192075,0.0006173840066032721,1.0,0.0,0.0,0.17729285900000002,-0.0005864984826649535,0.4993444678789261,0.9999429972068631,24
fixed_ALL10,fixed,optimistic_limit,test,0.03634462717026343,0.022839951498774713,0.010964581783933896,2.0651184473119666,-0.004623519312995872,0.0018835176874895403,0.0015226027183858903,0.006649755840832938,-0.002736351173705742,0.7894736842105263,0.0,0.0,0.03634111,0.0008536937888469689,0.6325823223570191,1.0,19
fixed_ALL10,fixed,optimistic_limit,full,0.23445205951762693,0.06053957312195202,0.01626178828117033,3.622607495332547,-0.015382332264087695,0.0049303812656771515,0.0029777833060506964,0.036038620894192075,-0.002736351173705742,0.9069767441860465,0.0,0.0,0.213633969,0.0002671953061820088,0.5581217546430506,0.9999681437354656,43
slowrank_lb30_k1_d7_th0,slow_rank,taker,train,-0.06702013995026312,-0.034047248004176245,0.04063314989404234,-0.8321901446530376,-0.08852331621780285,-0.0028416668869030853,-0.004165119630949621,0.028112422879470023,-0.017749221275761617,0.375,0.0,0.0,0.23304308,0.0012391238428379747,75.40101464971782,0.9807900587128769,24
slowrank_lb30_k1_d7_th0,slow_rank,taker,test,-0.10727543398047923,-0.06926777095810288,0.04230541017692096,-1.6756240266276752,-0.10951324090282222,-0.005936701404154628,-0.005616659837502258,0.008825516822822399,-0.019138942946826942,0.10526315789473684,0.0,0.0,0.07256091,0.0013778463587656997,58.83015597920277,1.0,19
slowrank_lb30_k1_d7_th0,slow_rank,taker,full,-0.16710595933214334,-0.04974599805574009,0.041378993536653294,-1.2124339497460757,-0.178051684124804,-0.004209240278246791,-0.005083347319437936,0.028112422879470023,-0.019138942946826942,0.2558139534883721,0.0,0.0,0.30560399000000005,0.0026169702016036744,68.09085406645217,0.9892644388519002,43
slowrank_lb30_k1_d7_th0,slow_rank,optimistic_limit,train,0.021768045486338927,0.01081115852305281,0.03669376204009263,0.31139085409979417,-0.05090200879713047,0.0009362755551118642,0.00013527471518182121,0.03183306704141087,-0.011817647787988994,0.5,0.0,0.0,0.23304308,0.0012391238428379747,75.40101464971782,0.9807900587128769,24
slowrank_lb30_k1_d7_th0,slow_rank,optimistic_limit,test,-0.055871735068043105,-0.03571579799669622,0.03947450431145019,-0.9015912620577905,-0.06211281920802547,-0.0030103600433709805,-0.003218612869068549,0.008825516822822399,-0.013216392908036112,0.21052631578947367,0.0,0.0,0.07256091,0.0013778463587656997,58.83015597920277,1.0,19
slowrank_lb30_k1_d7_th0,slow_rank,optimistic_limit,full,-0.035319908052058424,-0.00998449911808963,0.037945806800370775,-0.24547598050279348,-0.0703486105912966,-0.00080758668607823,-0.0018713155678971027,0.03183306704141087,-0.013216392908036112,0.37209302325581395,0.0,0.0,0.30560399000000005,0.0026169702016036744,68.09085406645217,0.9892644388519002,43
slowrank_lb30_k1_d7_th0.5,slow_rank,taker,train,-0.0488303678190547,-0.024688734380872934,0.03931389259200156,-0.6162104912093886,-0.07797261443433012,-0.0020441139358385644,-0.0024910242307786823,0.028112422879470023,-0.015908977457596896,0.375,0.0,0.0,0.22797677,0.0015083577548461458,69.40888103517072,0.894601835489939,24
slowrank_lb30_k1_d7_th0.5,slow_rank,taker,test,-0.06156711141856186,-0.039399596609270726,0.02663794963762968,-1.4956703185109084,-0.06391949612282188,-0.0033273769303556917,-0.002454641095105403,0.005650877303443158,-0.016422548391068936,0.10526315789473684,0.0,0.0,0.05821683000000001,0.000800710309156516,38.58752166377816,0.6239168110918544,19
slowrank_lb30_k1_d7_th0.5,slow_rank,taker,full,-0.1073911345414883,-0.031205933925317675,0.03430388009090472,-0.9070269365044333,-0.11912161946723498,-0.0026111371194624112,-0.002454641095105403,0.028112422879470023,-0.016422548391068936,0.2558139534883721,0.0,0.0,0.28619360000000005,0.0023090680640026617,55.81217546430506,0.7751903411805932,43
