candidate,family,split,cagr,sharpe,max_drawdown,avg_month,median_month,worst_month,best_month,positive_month_pct,month_ge_10_pct,months
inverse_vol_200-21-21,inverse_vol,full,0.15976688900004832,1.125312536433668,-0.21611456439740384,0.012995693901858512,0.008125769097678481,-0.08581695781305809,0.14409418207507652,0.5723684210526315,0.006578947368421052,152
inverse_vol_200-63-21,inverse_vol,train,0.11000711402773078,0.8100019919613862,-0.21372355059476578,0.009307051595901929,0.0032286787867275013,-0.08219872653435079,0.10035593350512917,0.5370370370370371,0.009259259259259259,108
inverse_vol_200-63-21,inverse_vol,test,0.27244094670762564,1.7982141595635248,-0.1261061831708914,0.02058879411809986,0.019680083626852696,-0.07330143541267198,0.13729206586241705,0.6818181818181818,0.022727272727272728,44
inverse_vol_200-63-21,inverse_vol,full,0.15394835048734778,1.0881563521269926,-0.21372355059476578,0.012572819168117122,0.0077106499681677265,-0.08219872653435079,0.13729206586241705,0.5789473684210527,0.013157894736842105,152
dual_ema_20-100,dual_ema,train,0.15069497147664324,1.0762223690737425,-0.19684035025392965,0.012472049600728511,0.006361270432951538,-0.08505185556671957,0.11994568254550386,0.5370370370370371,0.027777777777777776,108
dual_ema_20-100,dual_ema,test,0.27014442112703363,1.5274778572355447,-0.12036776739189314,0.020759139283533165,0.021804655809158913,-0.07845600295062483,0.12267467124403075,0.6363636363636364,0.06818181818181818,44
dual_ema_20-100,dual_ema,full,0.18345948030575077,1.216880153292638,-0.21809277705532082,0.014870943982593018,0.009851669835941324,-0.08505185556671957,0.12267467124403075,0.5657894736842105,0.039473684210526314,152
dual_ema_20-150,dual_ema,train,0.149824794172285,1.0744202862561234,-0.19795266978059833,0.01242756947727607,0.0069644171549835265,-0.09003626636716566,0.11986170991981493,0.5555555555555556,0.018518518518518517,108
dual_ema_20-150,dual_ema,test,0.2771930487949952,1.5858984077076765,-0.11473730730423182,0.02115497118864754,0.020053584467985663,-0.08219674560945,0.11864913975511882,0.6136363636363636,0.045454545454545456,44
dual_ema_20-150,dual_ema,full,0.18468112763310107,1.2333736095985999,-0.2106542747473571,0.014953922604252023,0.009230623621654832,-0.09003626636716566,0.11986170991981493,0.5723684210526315,0.02631578947368421,152
dual_ema_20-200,dual_ema,train,0.1506308707665578,1.0844487323679877,-0.19545233483664803,0.012467256028135573,0.009717511961951142,-0.08744044243125237,0.12004022783601354,0.5648148148148148,0.018518518518518517,108
