name,signal,side,tp,sl,hold,split,trades,total_return,avg_trade,win_rate,avg_win,median_win,avg_loss,profit_factor,max_drawdown,target_hit_rate,winner_ge_2_pct,bootstrap_mean_5pct,positive_year_pct,stress_trades,stress_total_return,stress_avg_trade,stress_win_rate,stress_avg_win,stress_median_win,stress_avg_loss,stress_profit_factor,stress_max_drawdown,stress_target_hit_rate,stress_winner_ge_2_pct,stress_bootstrap_mean_5pct,stress_positive_year_pct
breakout6_v1.5_L_tp0.022_sl0.018_h24,breakout6_v1.5,1,0.022,0.018,24,train,453,-0.651788114956686,-0.0021282445474613706,0.4392935982339956,0.020349854522613085,0.02030000000000002,-0.019739038700787418,0.8077085314187025,-0.7485166221639561,0.4392935982339956,0.9195979899497487,-0.0037368026810154563,0.0,453,-0.7579005497401563,-0.002928244547461369,0.4392935982339956,0.019549854522613087,0.01950000000000002,-0.02053903870078742,0.7457319950665181,-0.8106301800706137,0.4392935982339956,0.035175879396984924,-0.004536802681015455,0.0
breakout6_v1.5_L_tp0.022_sl0.018_h24,breakout6_v1.5,1,0.022,0.018,24,test,192,-0.4287254130852196,-0.0027180209179900384,0.421875,0.020303663580246933,0.02030000000000002,-0.01951762852481161,0.7591181950256921,-0.47325576097669153,0.421875,0.9753086419753086,-0.005091690476562504,0.0,192,-0.5103309675941516,-0.0035180209179900366,0.421875,0.019503663580246935,0.01950000000000002,-0.020317628524811615,0.700495293324846,-0.5467778547251247,0.421875,0.0,-0.005891690476562503,0.0
breakout6_v1.5_L_tp0.030_sl0.012_h6,breakout6_v1.5,1,0.03,0.012,6,train,484,0.4612755065170777,0.0009715258584886572,0.365702479338843,0.025986336916963847,0.028300000000000027,-0.013450694198026353,1.1138719221296842,-0.3012242260114778,0.32231404958677684,0.8813559322033898,-0.00038289485163818174,1.0,484,-0.007783272753189685,0.00017152585848865742,0.36363636363636365,0.025330346115041914,0.027500000000000028,-0.014204942859541776,1.0189751298145373,-0.4245274553876188,0.32231404958677684,0.8863636363636364,-0.0011828948516381815,0.5
breakout6_v1.5_L_tp0.030_sl0.012_h6,breakout6_v1.5,1,0.03,0.012,6,test,204,0.15967676296789834,0.0009041649293997875,0.37254901960784315,0.02461769240018998,0.028300000000000027,-0.013175742006381889,1.109368630285333,-0.23767050663822487,0.28921568627450983,0.8026315789473685,-0.0012795220893022801,0.5,204,-0.014921763680716182,0.00010416492939978902,0.37254901960784315,0.02381769240018998,0.027500000000000028,-0.013975742006381887,1.0118786434491354,-0.28166963172879134,0.28921568627450983,0.8026315789473685,-0.00207952208930228,0.5
breakout6_v1.5_L_tp0.030_sl0.012_h12,breakout6_v1.5,1,0.03,0.012,12,train,461,0.49840797219676647,0.001073084323291518,0.3579175704989154,0.027440681308461938,0.028300000000000027,-0.013625069401550102,1.1226603900923162,-0.26975112569568216,0.34273318872017355,0.9575757575757575,-0.00041397213956825645,1.0,461,0.03635291927476314,0.00027308432329151817,0.3579175704989154,0.026640681308461936,0.027500000000000028,-0.0144250694015501,1.029484113389248,-0.37794295933944666,0.34273318872017355,0.9575757575757575,-0.0012139721395682563,0.5
breakout6_v1.5_L_tp0.030_sl0.012_h12,breakout6_v1.5,1,0.03,0.012,12,test,194,-0.01590627301132741,0.00010257515597105957,0.34536082474226804,0.02618232716803561,0.028300000000000027,-0.013656034173228351,1.0114740199347863,-0.23921317285620414,0.30927835051546393,0.9104477611940298,-0.0022231470039436,0.5,194,-0.15746292794821626,-0.0006974248440289401,0.34536082474226804,0.02538232716803561,0.027500000000000028,-0.014456034173228348,0.9263036028419387,-0.2717210877118903,0.30927835051546393,0.9104477611940298,-0.0030231470039436,0.5
breakout6_v1.5_L_tp0.030_sl0.012_h24,breakout6_v1.5,1,0.03,0.012,24,train,459,0.5454132326099392,0.0011480866005088195,0.35294117647058826,0.02828979962962966,0.028300000000000027,-0.013656484142648,1.12992477688974,-0.28086599111989385,0.35294117647058826,1.0,-0.0003461667854030482,1.0,459,0.07060098943905957,0.00034808660050881975,0.35294117647058826,0.02748979962962966,0.027500000000000028,-0.014456484142647998,1.0372118153805578,-0.4234969201527288,0.35294117647058826,1.0,-0.0011461667854030478,0.5
breakout6_v1.5_L_tp0.030_sl0.012_h24,breakout6_v1.5,1,0.03,0.012,24,test,184,-0.03249382661718103,1.0066508665688034e-05,0.32608695652173914,0.028091079064142897,0.028300000000000027,-0.01357752021172651,1.0011001567092228,-0.2461329543708597,0.32065217391304346,0.9833333333333333,-0.0023366873209616427,0.5,184,-0.1650191830790929,-0.0007899334913343115,0.32608695652173914,0.0272910790641429,0.027500000000000028,-0.014377520211726509,0.9184727715922819,-0.28336862847257904,0.32065217391304346,0.9833333333333333,-0.0031366873209616427,0.5
breakout6_v1.5_L_tp0.030_sl0.018_h6,breakout6_v1.5,1,0.03,0.018,6,train,464,-0.19211551308768304,-0.0002047323154615339,0.4202586206896552,0.025699655539899377,0.028300000000000027,-0.018983006039607918,0.9813968232287633,-0.5307906785911218,0.3642241379310345,0.8666666666666667,-0.001950735842447046,0.5,464,-0.4428662411030563,-0.001004732315461533,0.41810344827586204,0.025028825320748214,0.027500000000000028,-0.01971032557999743,0.912398652002639,-0.6476420217274363,0.3642241379310345,0.8711340206185567,-0.0027507358424470455,0.0
breakout6_v1.5_L_tp0.030_sl0.018_h6,breakout6_v1.5,1,0.03,0.018,6,test,191,-0.045737392276009814,-1.8656574045714072e-06,0.42408376963350786,0.02484752681993134,0.028300000000000027,-0.018300054663442835,0.999822980874386,-0.36045160370978035,0.33507853403141363,0.8148148148148148,-0.00259083294994774,0.5,191,-0.18106622605979594,-0.0008018656574045711,0.42408376963350786,0.02404752681993134,0.027500000000000028,-0.019100054663442834,0.9271033306815077,-0.39114809194902833,0.33507853403141363,0.8148148148148148,-0.0033908329499477384,0.5
