family,symbol,side,lookback,hold,threshold,aux,stop,target,key,robust_dev,neighbor_count,neighbor_pass_ratio,neighbor_median_val_pf,valid_blocks,positive_blocks,positive_block_ratio,train_trades,train_pf,train_cagr,val_trades,val_pf,val_cagr,holdout_gate,holdout_trades,holdout_pf,holdout_cagr,holdout_dd,holdout_boot5,stress_pf,stress_cagr
climax_reversal,SOLUSDT,long,3,9,0.01,1.5,0.0,0.018,bb7b8a1e57ac,True,11,0.9090909090909092,2.39762723888969,5,5,1.0,75,2.2801489410104065,0.4569675569582363,47,3.2203923841615443,0.8156359289764128,False,64,0.5352281784865996,-0.3671073762375777,-0.4944525626922273,-0.017071217385561,0.4656525688835592,-0.4144027213054316
climax_reversal,SOLUSDT,long,6,1,0.01,1.40625,0.0,0.03,7ccf6e37442c,True,11,0.9090909090909092,2.0977518441587373,5,5,1.0,96,2.220008884260038,0.5812558280936269,68,2.500664601944695,1.2200051500286548,False,122,0.7506761033116388,-0.2186228919401113,-0.3089804699152852,-0.0057962189999442,0.6234338568809332,-0.3254065120024936
climax_reversal,SOLUSDT,long,6,9,0.015,1.125,0.0,0.018,cd5923d46f46,True,12,0.8333333333333334,2.4503830740052086,5,5,1.0,82,2.217076551050918,0.493564922007637,60,2.4781657991967885,0.87770453172873,False,73,0.5840945340754136,-0.3666798181854895,-0.5299843872025801,-0.0152508613421337,0.5096900262767349,-0.4203089524700334
climax_reversal,SOLUSDT,long,6,1,0.006,1.7578125,0.0,0.03,e7d50e24f322,True,11,0.9090909090909092,2.206697324802542,5,5,1.0,72,2.2264422588507915,0.4387284711201582,57,2.4482636474257693,0.9789724128151878,False,84,0.997623406987676,-0.0170073504661171,-0.1747827286268013,-0.0040254356802788,0.833461810802288,-0.1113817040267634
climax_reversal,SOLUSDT,long,6,9,0.02,1.5,0.0,0.018,df6e7d1b133d,True,12,0.9166666666666666,3.081000744142992,5,4,0.8,57,2.2091083558758213,0.322613407701636,49,3.5500451482895508,0.9640808060612724,False,61,0.5644831066390515,-0.3360574531970723,-0.4576620457025413,-0.016774048956532,0.4925405654767774,-0.3834052917482662
climax_reversal,SOLUSDT,long,3,9,0.02,2.5,0.0,0.018,f1459d3d5516,True,11,0.7272727272727273,2.258471522223355,5,4,0.8,31,2.2367828508353824,0.1683629919768725,24,3.4834302845513694,0.3746001707295583,False,29,0.5229335908320724,-0.2352345037155286,-0.3759259448592742,-0.0267481666190229,0.4630701717296675,-0.2617698354419268
climax_reversal,SOLUSDT,long,3,9,0.02,2.0,0.0,0.018,f4195ccf399d,True,11,0.9090909090909092,2.000425059578096,5,5,1.0,45,2.191007457081501,0.2345029129644134,35,2.399814278520316,0.4389450410775284,False,44,0.5209083306076494,-0.2949113430615231,-0.4208676001651483,-0.0209821119600328,0.4549718321364758,-0.3316201310146419
climax_reversal,SOLUSDT,long,6,3,0.02,1.7578125,0.0,0.03,0eddfaf210d5,True,12,0.9166666666666666,3.237217100051586,5,5,1.0,57,2.164544017472433,0.3509038822159129,45,4.0667840061751805,1.3357607790570842,False,59,0.8824548808620103,-0.0921300072612159,-0.2516091912221623,-0.009167928103204,0.7758061271512708,-0.1544012660012411
climax_reversal,SOLUSDT,long,6,3,0.01,1.7578125,0.0,0.03,4c1e8ab25687,True,12,0.9166666666666666,2.291713752850486,5,5,1.0,64,2.121528488922505,0.4082913189223236,50,2.5730564230804345,1.034859500499767,False,65,0.908025597891962,-0.082839722220258,-0.2620809174890551,-0.0082212553429575,0.7968891371639584,-0.151869619275123
climax_reversal,SOLUSDT,long,3,12,0.02,1.5,0.0,0.018,7f51f7c07a61,True,10,0.9,1.8710784700595664,5,5,1.0,65,2.1983165885535216,0.3819117307855915,42,2.103229712911383,0.4991959951224498,False,53,0.5396528375403062,-0.304122660469063,-0.4094068380368251,-0.0163453276383466,0.4707539669281331,-0.3474442054783637
