candidate,family,params,profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,months,avg_gross_exposure,annual_turnover
sma_long_100,sma_long,[100],base,test,1.8554250314867464,0.34280988171504556,0.21411414607949286,1.4837897365977069,-0.17972484749236273,0.026596610827582946,0.021539122870471328,0.1600152909498196,-0.09271653477433961,0.5813953488372093,0.11627906976744186,0.0,43,0.7334510161407455,16.284300758772776
sma_long_100,sma_long,[100],base,full,15.435976721662552,0.2742340817298832,0.19944568717501718,1.3153889586020748,-0.22511528138782066,0.022166759438040758,0.007765626460690456,0.16486907153841845,-0.14280779461034887,0.5251798561151079,0.1079136690647482,0.02158273381294964,139,0.7135006046770337,18.13945764954984
sma_long_100,sma_long,[100],balanced,train,11.990703616229874,0.37829544448350716,0.2922590912269788,1.2454810279547575,-0.3234243385594079,0.031220622237514258,0.005808003060620237,0.28109152873975307,-0.2109529005433065,0.5,0.22916666666666666,0.0625,96,1.063601210016483,26.82075820838485
sma_long_100,sma_long,[100],balanced,test,3.2240505316847523,0.498960250788824,0.3390428173400282,1.363342905302283,-0.29270810548949844,0.03869555257053705,0.03695681488045488,0.29178459534174817,-0.14120322275630692,0.5813953488372093,0.3488372093023256,0.06976744186046512,43,1.1801062875005535,24.76986236051183
sma_long_100,sma_long,[100],balanced,full,53.87338851709477,0.4144037540134433,0.30738903980472154,1.282646328922685,-0.3234243385594079,0.033533010757801886,0.011616006121240474,0.29178459534174817,-0.2109529005433065,0.5251798561151079,0.26618705035971224,0.06474820143884892,139,1.0995012630921308,26.18879201960364
sma_long_100,sma_long,[100],aggressive,train,35.50038193072019,0.5684876582492728,0.4439783691716225,1.238906072029418,-0.4614879413353512,0.04781848284678295,0.006512503592298824,0.4610006292527975,-0.3021125280533399,0.5,0.3229166666666667,0.14583333333333334,96,1.6105567151628029,40.43459830240614
sma_long_100,sma_long,[100],aggressive,test,6.360457482981684,0.7520446250007708,0.5198191220332212,1.3380761133441565,-0.4187940715364521,0.058433076962330376,0.056475438984369575,0.4840410207624579,-0.21117004371275505,0.5813953488372093,0.4186046511627907,0.18604651162790697,43,1.8124060421124328,37.779765300564115
sma_long_100,sma_long,[100],aggressive,full,267.65950931365944,0.6228995438199558,0.468586426496536,1.2695314129037614,-0.4614879413353512,0.0511021342638228,0.013025007184597648,0.4840410207624579,-0.3021125280533399,0.5251798561151079,0.35251798561151076,0.15827338129496402,139,1.6727548760263613,39.616533993697
sma_long_150,sma_long,[150],base,train,4.827511647587449,0.24675297737153,0.19046584687561477,1.25396967235596,-0.24944233142188743,0.020262955995308817,0.0,0.1569683670988351,-0.15215901783678643,0.4895833333333333,0.09375,0.020833333333333332,96,0.6762858311682981,13.243530736983796
sma_long_150,sma_long,[150],base,test,2.0043714991917967,0.362129542024078,0.21022996473627792,1.5756034921814883,-0.16813618948053644,0.027783910149995695,0.027892562591578685,0.19074689076484241,-0.09899255139605934,0.6046511627906976,0.13953488372093023,0.0,43,0.7594532876369506,12.884305394197073
sma_long_150,sma_long,[150],base,full,16.508009905219996,0.28122309232239817,0.1967496146383045,1.3586348335331795,-0.24944233142188743,0.022589582100715547,0.008581438667688124,0.19074689076484241,-0.15215901783678643,0.5251798561151079,0.1079136690647482,0.014388489208633094,139,0.7019131786270344,13.132838489481324
sma_long_150,sma_long,[150],balanced,train,14.099212888710726,0.4044802401582617,0.2994014384225553,1.2858502870963529,-0.3467114647320547,0.03301690071494994,0.0,0.28171879009916223,-0.21646092252088234,0.4791666666666667,0.2604166666666667,0.0625,96,1.06205604011093,18.98739143711065
sma_long_150,sma_long,[150],balanced,test,4.062546502791957,0.5771860855667512,0.3432530967792211,1.499531785795292,-0.2800026128655112,0.04337909532852113,0.03693131949149908,0.34691938736042127,-0.15798906917030586,0.6046511627906976,0.3488372093023256,0.06976744186046512,43,1.248668403939521,20.04479859398599
sma_long_150,sma_long,[150],balanced,full,75.44046740465389,0.4555793693914578,0.3135312435194338,1.355404652376708,-0.3467114647320547,0.036222471710515125,0.012979784868798028,0.34691938736042127,-0.21646092252088234,0.5179856115107914,0.28776978417266186,0.06474820143884892,139,1.1195590598135223,19.31322249850439
sma_long_150,sma_long,[150],aggressive,train,44.90841360130361,0.6141460519022579,0.4576242588140139,1.2785141032249157,-0.49022391427926215,0.050913396659178996,0.0,0.46202858372309374,-0.3105040572431219,0.4791666666666667,0.3333333333333333,0.13541666666666666,96,1.6189886763835595,28.733275264203883
sma_long_150,sma_long,[150],aggressive,test,8.792870209742235,0.8983782177427844,0.5286880061673523,1.4772095822007099,-0.40981473632845833,0.066282598014765,0.054602321536971754,0.5618053152049114,-0.23053665673629498,0.6046511627906976,0.4186046511627907,0.13953488372093023,43,1.926051391373467,30.39786116669976
