candidate,family,lookback_events,top_k,threshold_bps,rebalance_events,keep_bps,cost_profile,split,total_return,cagr,ann_vol,sharpe,max_drawdown,avg_month,median_month,best_month,worst_month,positive_month_pct,month_ge_10_pct,month_le_minus10_pct,funding_return_sum,basis_return_sum,annual_turnover,active_time_pct,months
ranked_carry_lb1_k1_th0.5_reb1_keep0.25,ranked_carry,1,1,0.5,1,0.25,taker,full,-0.9988745608603506,-0.8496375704309552,0.09163625416217605,-20.62823450192503,-0.9988753468319307,-0.14491965658075553,-0.14346141500567378,-0.03545790389820114,-0.22543981367408417,0.0,0.0,0.813953488372093,0.36077859,0.12345162227933593,1012.7119237998153,0.9426268675735083,43
ranked_carry_lb1_k1_th0.5_reb1_keep0.25,ranked_carry,1,1,0.5,1,0.25,optimistic_limit,train,-0.9036532459966283,-0.6891258067867869,0.06778276479604485,-17.201853666429244,-0.9036774006884791,-0.09223285796094172,-0.09077783044486959,-0.02024371672970582,-0.15847088426481315,0.0,0.0,0.3333333333333333,0.27375592,0.06940429057297914,955.2459670523856,0.9858063045089209,24
ranked_carry_lb1_k1_th0.5_reb1_keep0.25,ranked_carry,1,1,0.5,1,0.25,optimistic_limit,test,-0.8961946239799657,-0.7613958101916838,0.06857751403683131,-20.859277301418544,-0.8963758879525758,-0.11202952407847035,-0.10994710218000359,-0.0622305295691532,-0.1583409506961413,0.0,0.0,0.7368421052631579,0.08702267000000001,0.05404733170635678,1085.5112651646448,0.8879260543038706,19
ranked_carry_lb1_k1_th0.5_reb1_keep0.25,ranked_carry,1,1,0.5,1,0.25,optimistic_limit,full,-0.9899986889723702,-0.7233732761926136,0.06814786598072245,-18.821821740072096,-0.9900056735759382,-0.10098022205938462,-0.1001207286229282,-0.02024371672970582,-0.15847088426481315,0.0,0.0,0.5116279069767442,0.36077859,0.12345162227933593,1012.7119237998153,0.9426268675735083,43
ranked_carry_lb1_k1_th0.5_reb3_keep0.25,ranked_carry,1,1,0.5,3,0.25,taker,train,-0.7113989440472431,-0.4623461624739249,0.0641483330799023,-9.641055564740956,-0.7115891920632513,-0.050313986028143166,-0.04973921173831791,-0.003206868000291907,-0.07429128019092335,0.0,0.0,0.0,0.26138269000000003,0.03007821846689185,381.99851792737843,0.9794219916775923,24
ranked_carry_lb1_k1_th0.5_reb3_keep0.25,ranked_carry,1,1,0.5,3,0.25,taker,test,-0.7242411423720736,-0.5573210882389201,0.06382421434273203,-12.73548092089662,-0.7250756903817186,-0.0654086466231157,-0.06789834007932272,-0.03018692299600234,-0.09312781214706578,0.0,0.0,0.0,0.07520760000000001,0.019849657647596608,436.48180242634317,0.8942807625649913,19
ranked_carry_lb1_k1_th0.5_reb3_keep0.25,ranked_carry,1,1,0.5,3,0.25,taker,full,-0.9204157025002545,-0.5065263969369683,0.0640128396957731,-11.000996953358447,-0.9204742738538485,-0.05698371977941009,-0.05630055207838902,-0.003206868000291907,-0.09312781214706578,0.0,0.0,0.0,0.33659029,0.049927876114488456,406.0335765028193,0.9418623172246823,43
ranked_carry_lb1_k1_th0.5_reb3_keep0.25,ranked_carry,1,1,0.5,3,0.25,optimistic_limit,train,-0.5425947520962489,-0.3233357143240405,0.051225323510758945,-7.598947281819794,-0.5428962771223379,-0.031994352477631244,-0.03232281018211203,0.0016052805901851652,-0.05059181726097495,0.041666666666666664,0.0,0.0,0.26138269000000003,0.03007821846689185,381.99851792737843,0.9794219916775923,24
ranked_carry_lb1_k1_th0.5_reb3_keep0.25,ranked_carry,1,1,0.5,3,0.25,optimistic_limit,test,-0.5822727803697862,-0.4243169117864092,0.04972503237568444,-11.079791329943621,-0.5835369770041778,-0.044828336915970234,-0.04620890534120936,-0.018443368428248008,-0.06485576039091112,0.0,0.0,0.0,0.07520760000000001,0.019849657647596608,436.48180242634317,0.8942807625649913,19
ranked_carry_lb1_k1_th0.5_reb3_keep0.25,ranked_carry,1,1,0.5,3,0.25,optimistic_limit,full,-0.8089293775488959,-0.3699001963995593,0.05057543819783494,-9.106889133924454,-0.8090699990702336,-0.037665182810850795,-0.03794454924374957,0.0016052805901851652,-0.06485576039091112,0.023255813953488372,0.0,0.0,0.33659029,0.049927876114488456,406.0335765028193,0.9418623172246823,43
